
2023/06/07 (12:51:16) | ===> btop++ v.1.2.13
2023/06/07 (12:51:16) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/06/18 (11:49:13) | ===> btop++ v.1.2.13
2023/06/18 (11:49:13) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/06/22 (21:10:20) | ===> btop++ v.1.2.13
2023/06/22 (21:10:20) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/06/22 (21:24:04) | ===> btop++ v.1.2.13
2023/06/22 (21:24:04) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/06/22 (23:15:22) | ===> btop++ v.1.2.13
2023/06/22 (23:15:22) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/06/27 (16:16:36) | ===> btop++ v.1.2.13
2023/06/27 (16:16:36) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/06/27 (16:16:46) | ===> btop++ v.1.2.13
2023/06/27 (16:16:46) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/06/27 (18:39:48) | ===> btop++ v.1.2.13
2023/06/27 (18:39:48) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/06/28 (16:21:22) | ===> btop++ v.1.2.13
2023/06/28 (16:21:22) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/06/28 (21:37:52) | ===> btop++ v.1.2.13
2023/06/28 (21:37:52) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/06/29 (11:17:15) | ===> btop++ v.1.2.13
2023/06/29 (11:17:15) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/06/29 (23:34:39) | ===> btop++ v.1.2.13
2023/06/29 (23:34:39) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/07/07 (14:28:12) | ===> btop++ v.1.2.13
2023/07/07 (14:28:12) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/08/30 (16:10:39) | ===> btop++ v.1.2.13
2023/08/30 (16:10:39) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/08/30 (19:25:09) | ===> btop++ v.1.2.13
2023/08/30 (19:25:09) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.
